iter	Passed	Remaining
0	23	23742
1	35	17859
2	45	15280
3	66	16521
4	87	17465
5	107	17766
6	123	17453
7	142	17611
8	151	16701
9	159	15837
10	179	16109
11	188	15507
12	203	15456
13	211	14893
14	228	15012
15	245	15111
16	256	14821
17	276	15111
18	293	15177
19	316	15519
20	320	14925
21	332	14790
22	347	14751
23	361	14696
24	378	14759
25	393	14725
26	410	14791
27	429	14914
28	443	14843
29	462	14947
30	466	14575
31	480	14550
32	497	14582
33	514	14622
34	527	14542
35	545	14603
36	556	14482
37	574	14547
38	595	14662
39	604	14499
40	620	14520
41	639	14585
42	656	14603
43	683	14860
44	692	14704
45	705	14638
46	709	14377
47	726	14417
48	745	14459
49	762	14490
50	781	14547
51	794	14480
52	810	14480
53	823	14423
54	832	14295
55	847	14281
56	865	14324
57	878	14266
58	896	14303
59	912	14295
60	929	14315
61	946	14321
62	961	14297
63	965	14122
64	978	14082
65	999	14142
66	1010	14071
67	1023	14027
68	1040	14038
69	1063	14129
70	1078	14110
71	1093	14088
72	1129	14338
73	1148	14370
74	1157	14275
75	1179	14338
76	1192	14291
77	1204	14236
78	1220	14233
79	1230	14153
80	1240	14075
81	1259	14099
82	1272	14058
83	1287	14039
84	1298	13973
85	1317	14000
86	1327	13933
87	1352	14017
88	1369	14020
89	1393	14091
90	1418	14173
91	1434	14160
92	1451	14160
93	1465	14121
94	1483	14128
95	1501	14139
96	1520	14153
97	1538	14157
98	1548	14097
99	1569	14124
100	1581	14077
101	1591	14012
102	1605	13977
103	1619	13952
104	1630	13895
105	1651	13924
106	1665	13898
107	1681	13886
108	1702	13919
109	1720	13921
110	1732	13871
111	1751	13889
112	1767	13874
113	1788	13896
114	1808	13915
115	1828	13933
116	1841	13895
117	1856	13876
118	1873	13873
119	1889	13853
120	1908	13864
121	1919	13811
122	1931	13772
123	1944	13739
124	1950	13652
125	1965	13635
126	1979	13607
127	1996	13601
128	2007	13553
129	2023	13538
130	2043	13558
131	2061	13555
132	2072	13507
133	2095	13542
134	2111	13531
135	2127	13518
136	2148	13531
137	2159	13489
138	2172	13459
139	2194	13478
140	2207	13445
141	2224	13440
142	2232	13376
143	2246	13351
144	2260	13330
145	2277	13319
146	2292	13302
147	2312	13310
148	2332	13320
149	2348	13307
150	2362	13281
151	2372	13238
152	2386	13209
153	2406	13217
154	2414	13163
155	2429	13142
156	2436	13084
157	2452	13067
158	2468	13055
159	2482	13030
160	2502	13040
161	2513	13004
162	2532	13006
163	2550	12999
164	2563	12973
165	2585	12989
166	2602	12980
167	2621	12980
168	2630	12936
169	2645	12913
170	2657	12885
171	2677	12887
172	2688	12851
173	2701	12823
174	2713	12794
175	2726	12765
176	2734	12712
177	2750	12702
178	2758	12651
179	2770	12622
180	2793	12639
181	2832	12731
182	2841	12687
183	2854	12660
184	2870	12647
185	2885	12629
186	2901	12614
187	2914	12587
188	2937	12605
189	2956	12604
190	2969	12578
191	2978	12534
192	2995	12524
193	3003	12476
194	3020	12469
195	3037	12459
196	3055	12454
197	3070	12438
198	3090	12438
199	3105	12420
200	3115	12386
201	3132	12374
202	3144	12345
203	3164	12346
204	3176	12318
205	3193	12308
206	3208	12290
207	3230	12299
208	3261	12344
209	3291	12381
210	3310	12377
211	3319	12339
212	3331	12310
213	3348	12298
214	3369	12304
215	3384	12283
216	3394	12249
217	3408	12227
218	3421	12203
219	3439	12193
220	3457	12188
221	3477	12187
222	3496	12182
223	3533	12241
224	3567	12288
225	3592	12304
226	3617	12319
227	3642	12334
228	3659	12321
229	3678	12314
230	3690	12286
231	3708	12275
232	3727	12271
233	3744	12257
234	3757	12233
235	3766	12191
236	3780	12169
237	3795	12151
238	3815	12149
239	3828	12123
240	3848	12119
241	3865	12106
242	3880	12088
243	3895	12069
244	3905	12035
245	3912	11991
246	3931	11985
247	3943	11958
248	3962	11949
249	3977	11932
250	3990	11906
251	3999	11870
252	4016	11859
253	4033	11846
254	4052	11838
255	4067	11820
256	4079	11795
257	4099	11789
258	4115	11773
259	4129	11753
260	4145	11737
261	4165	11734
262	4179	11713
263	4196	11698
264	4205	11664
265	4229	11669
266	4250	11669
267	4269	11660
268	4294	11669
269	4306	11643
270	4318	11616
271	4334	11601
272	4350	11584
273	4374	11590
274	4393	11582
275	4400	11544
276	4419	11535
277	4440	11532
278	4458	11521
279	4461	11473
280	4482	11469
281	4506	11473
282	4530	11478
283	4556	11487
284	4574	11475
285	4588	11456
286	4601	11431
287	4617	11416
288	4629	11390
289	4643	11368
290	4658	11350
291	4675	11337
292	4680	11294
293	4699	11285
294	4723	11289
295	4727	11244
296	4746	11234
297	4755	11203
298	4774	11193
299	4810	11224
300	4825	11206
301	4868	11253
302	4889	11247
303	4908	11236
304	4999	11391
305	5034	11417
306	5047	11394
307	5068	11388
308	5088	11379
309	5108	11369
310	5117	11336
311	5141	11336
312	5164	11336
313	5188	11335
314	5205	11320
315	5215	11289
316	5238	11286
317	5258	11277
318	5278	11268
319	5297	11256
320	5339	11294
321	5390	11350
322	5443	11408
323	5516	11509
324	5571	11571
325	5623	11625
326	5654	11638
327	5688	11654
328	5747	11722
329	5778	11731
330	5821	11766
331	5884	11838
332	5900	11818
333	5938	11840
334	5976	11862
335	6003	11864
336	6024	11853
337	6047	11843
338	6063	11823
339	6087	11817
340	6098	11785
341	6128	11791
342	6155	11790
343	6163	11753
344	6182	11737
345	6196	11712
346	6217	11700
347	6236	11684
348	6260	11677
349	6282	11666
350	6305	11658
351	6333	11659
352	6361	11660
353	6378	11640
354	6404	11636
355	6428	11629
356	6454	11625
357	6477	11616
358	6500	11607
359	6529	11608
360	6552	11598
361	6585	11607
362	6610	11601
363	6639	11601
364	6663	11592
365	6684	11579
366	6698	11554
367	6728	11555
368	6756	11553
369	6782	11548
370	6800	11529
371	6803	11485
372	6828	11477
373	6842	11452
374	6862	11437
375	6882	11421
376	6900	11403
377	6933	11408
378	6977	11432
379	6997	11417
380	7031	11423
381	7051	11408
382	7079	11404
383	7096	11384
384	7132	11393
385	7149	11372
386	7189	11388
387	7237	11415
388	7262	11406
389	7283	11391
390	7326	11410
391	7357	11412
392	7384	11404
393	7409	11396
394	7434	11387
395	7452	11367
396	7467	11342
397	7488	11326
398	7516	11321
399	7528	11292
400	7545	11271
401	7562	11249
402	7582	11232
403	7607	11222
404	7620	11195
405	7640	11177
406	7655	11153
407	7671	11130
408	7692	11115
409	7711	11096
410	7723	11067
411	7744	11052
412	7767	11040
413	7783	11017
414	7801	10997
415	7821	10980
416	7845	10968
417	7874	10964
418	7890	10941
419	7909	10923
420	7928	10903
421	7943	10879
422	7968	10870
423	7994	10860
424	8033	10869
425	8058	10857
426	8090	10856
427	8124	10857
428	8148	10846
429	8181	10845
430	8194	10818
431	8222	10811
432	8255	10809
433	8272	10788
434	8293	10771
435	8309	10748
436	8336	10739
437	8360	10727
438	8388	10719
439	8418	10714
440	8437	10694
441	8463	10684
442	8491	10677
443	8519	10668
444	8538	10648
445	8562	10636
446	8573	10607
447	8601	10598
448	8614	10571
449	8642	10563
450	8659	10541
451	8701	10550
452	8742	10556
453	8787	10568
454	8796	10536
455	8819	10521
456	8846	10510
457	8875	10503
458	8896	10485
459	8928	10481
460	8953	10468
461	8980	10457
462	9007	10446
463	9014	10413
464	9033	10393
465	9045	10365
466	9049	10328
467	9063	10303
468	9093	10295
469	9117	10281
470	9135	10260
471	9155	10242
472	9165	10211
473	9185	10192
474	9211	10180
475	9228	10159
476	9252	10144
477	9274	10128
478	9296	10111
479	9318	10094
480	9345	10083
481	9374	10074
482	9441	10106
483	9464	10089
484	9492	10079
485	9521	10069
486	9546	10055
487	9563	10034
488	9593	10025
489	9615	10007
490	9668	10022
491	9699	10015
492	9728	10004
493	9761	9998
494	9788	9986
495	9810	9969
496	9846	9965
497	9862	9942
498	9883	9923
499	9907	9907
500	9932	9892
501	9961	9882
502	9978	9859
503	10008	9849
504	10028	9829
505	10061	9822
506	10097	9818
507	10110	9792
508	10130	9772
509	10145	9747
510	10158	9721
511	10182	9705
512	10200	9683
513	10222	9665
514	10249	9652
515	10331	9691
516	10364	9683
517	10397	9675
518	10445	9681
519	10483	9676
520	10504	9657
521	10512	9626
522	10530	9604
523	10558	9591
524	10564	9557
525	10586	9539
526	10619	9531
527	10660	9529
528	10693	9521
529	10709	9497
530	10740	9486
531	10762	9467
532	10789	9453
533	10808	9432
534	10831	9414
535	10855	9397
536	10862	9365
537	10887	9349
538	10905	9327
539	10929	9310
540	10946	9287
541	10971	9271
542	11001	9258
543	11017	9234
544	11041	9218
545	11055	9192
546	11083	9178
547	11099	9154
548	11122	9136
549	11142	9116
550	11161	9095
551	11191	9082
552	11229	9077
553	11289	9088
554	11338	9091
555	11355	9067
556	11380	9051
557	11395	9026
558	11417	9007
559	11435	8985
560	11453	8962
561	11467	8937
562	11472	8905
563	11505	8894
564	11529	8876
565	11541	8849
566	11555	8824
567	11570	8800
568	11593	8781
569	11616	8763
570	11634	8741
571	11656	8722
572	11685	8708
573	11714	8694
574	11746	8682
575	11783	8673
576	11810	8658
577	11839	8644
578	11862	8625
579	11898	8616
580	11940	8611
581	11971	8597
582	12034	8607
583	12100	8619
584	12132	8606
585	12166	8595
586	12185	8573
587	12212	8556
588	12235	8537
589	12264	8522
590	12302	8513
591	12346	8508
592	12363	8485
593	12383	8464
594	12406	8444
595	12427	8424
596	12450	8404
597	12471	8384
598	12497	8366
599	12508	8339
600	12527	8316
601	12547	8295
602	12572	8277
603	12596	8258
604	12642	8254
605	12694	8253
606	12745	8251
607	12784	8242
608	12858	8255
609	12896	8245
610	12946	8242
611	12976	8227
612	13025	8223
613	13032	8192
614	13063	8177
615	13107	8170
616	13132	8151
617	13170	8141
618	13199	8124
619	13242	8116
620	13289	8110
621	13318	8093
622	13358	8083
623	13393	8070
624	13462	8077
625	13494	8062
626	13529	8048
627	13543	8022
628	13562	7999
629	13578	7974
630	13602	7954
631	13637	7940
632	13670	7925
633	13720	7920
634	13737	7896
635	13774	7883
636	13807	7868
637	13837	7851
638	13886	7845
639	13900	7818
640	13918	7795
641	13950	7779
642	13983	7763
643	14001	7740
644	14033	7723
645	14051	7700
646	14096	7691
647	14114	7667
648	14166	7661
649	14195	7643
650	14236	7632
651	14257	7609
652	14265	7580
653	14303	7567
654	14332	7549
655	14356	7528
656	14385	7510
657	14412	7491
658	14450	7477
659	14458	7448
660	14489	7431
661	14518	7412
662	14568	7405
663	14618	7397
664	14647	7378
665	14668	7356
666	14695	7336
667	14708	7310
668	14729	7287
669	14752	7266
670	14781	7247
671	14803	7225
672	14810	7196
673	14834	7175
674	14856	7153
675	14884	7134
676	14898	7108
677	14930	7090
678	14971	7077
679	15020	7068
680	15070	7059
681	15102	7041
682	15129	7021
683	15160	7003
684	15194	6987
685	15245	6978
686	15278	6960
687	15306	6941
688	15343	6925
689	15425	6930
690	15486	6925
691	15523	6909
692	15551	6889
693	15591	6874
694	15623	6856
695	15645	6833
696	15671	6812
697	15697	6791
698	15720	6769
699	15767	6757
700	15826	6750
701	15851	6729
702	15860	6700
703	15882	6678
704	15900	6653
705	15926	6632
706	15963	6615
707	16001	6599
708	16023	6576
709	16065	6562
710	16092	6540
